ID,Name,Severity
1,Accessing Functionality Not Properly Constrained by ACLs,High
100,Overflow Buffers,Very High
10,Buffer Overflow via Environment Variables,High
123,Buffer Manipulation,Very High
253,Remote Code Inclusion,
101,Server Side Include (SSI) Injection,High
593,Session Hijacking,Very High
102,Session Sidejacking,High
173,Action Spoofing,Very High
103,Clickjacking,High
233,Privilege Escalation,
104,Cross Zone Scripting,High
220,Client-Server Protocol Manipulation,Medium
105,HTTP Request Splitting,High
107,Cross Site Tracing,Very High
66,SQL Injection,High
108,Command Line Execution through SQL Injection,Very High
109,Object Relational Mapping Injection,High
635,Alternative Execution Due to Deceptive Filenames,High
11,Cause Web Server Misclassification,High
110,SQL Injection through SOAP Parameter Tampering,Very High
212,Functionality Misuse,Medium
111,JSON Hijacking (aka JavaScript Hijacking),High
216,Communication Channel Manipulation,
12,Choosing Message Identifier,High
267,Leverage Alternate Encoding,High
120,Double Encoding,Medium
113,API Manipulation,Medium
121,Exploit Non-Production Interfaces,High
153,Input Data Manipulation,Medium
126,Path Traversal,Very High
54,Query System for Information,Low
127,Directory Indexing,Medium
128,Integer Attacks,Medium
77,Manipulating User-Controlled Variables,Very High
13,Subverting Environment Variable Values,Very High
159,Redirect Access to Libraries,Very High
132,Symlink Attack,High
133,Try All Common Switches,Medium
137,Parameter Injection,Medium
134,Email Injection,Medium
135,Format String Injection,High
248,Command Injection,High
136,LDAP Injection,High
138,Reflection Injection,Very High
139,Relative Path Traversal,High
14,Client-side Injection-induced Buffer Overflow,High
74,Manipulating State,High
140,Bypassing of Intermediate Forms in Multiple-Form Sets,Medium
161,Infrastructure Manipulation,High
141,Cache Poisoning,High
142,DNS Cache Poisoning,High
150,Collect Data from Common Resource Locations,Medium
143,Detect Unpublicized Web Pages,Low
144,Detect Unpublicized Web Services,Low
148,Content Spoofing,Medium
145,Checksum Spoofing,Medium
271,Schema Poisoning,High
146,XML Schema Poisoning,High
528,XML Flood,Medium
147,XML Ping of the Death,Medium
497,File Discovery,Very Low
149,Explore for Predictable Temporary File Names,Medium
15,Command Delimiters,High
116,Excavation,Medium
155,Screen Temporary Files for Sensitive Information,Medium
117,Interception,Medium
157,Sniffing Attacks,Medium
158,Sniffing Network Traffic,Medium
154,Resource Location Spoofing,Medium
49,Password Brute Forcing,High
16,Dictionary-based Password Attack,High
160,Exploit Script-Based APIs,Medium
162,Manipulating Hidden Fields,High
98,Phishing,Very High
163,Spear Phishing,High
164,Mobile Phishing,High
166,Force the System to Reset Values,Medium
188,Reverse Engineering,Low
167,White Box Reverse Engineering,Medium
636,Hiding Malicious Data or Code within Files,High
168,Windows ::DATA Alternate Data Stream,Medium
17,Using Malicious Files,Very High
165,File Manipulation,Medium
541,Application Fingerprinting,Low
170,Web Application Fingerprinting,Low
182,Flash Injection,Medium
174,Flash Parameter Injection,Medium
177,Create files with the same name as files protected with a higher classification,Very High
178,Cross-Site Flashing,Medium
554,Functionality Bypass,High
179,Calling Micro-Services Directly,Medium
591,Reflected XSS,Very High
18,XSS Targeting Non-Script Elements,Very High
592,Stored XSS,Very High
588,DOM-Based XSS,Very High
122,Privilege Abuse,Medium
180,Exploiting Incorrectly Configured Access Control Security Levels,Medium
181,Flash File Overlay,Medium
183,IMAP/SMTP Command Injection,Medium
184,Software Integrity Attack,Low
185,Malicious Software Download,Very High
186,Malicious Software Update,High
187,Malicious Automated Software Update,High
189,Black Box Reverse Engineering,Low
242,Code Injection,High
19,Embedding Scripts within Scripts,High
190,Reverse Engineer an Executable to Expose Assumed Hidden Functionality,Low
191,Read Sensitive Constants Within an Executable,Low
193,PHP Remote File Inclusion,High
151,Identity Spoofing,Medium
194,Fake the Source of Data,Medium
195,Principal Spoof,Medium
21,Exploitation of Trusted Identifiers,High
196,Session Credential Falsification through Forging,Medium
230,XML Nested Payloads,High
197,XML Entity Expansion,Medium
198,XSS Targeting Error Pages,Medium
199,XSS Using Alternate Syntax,High
2,Inducing Account Lockout,Medium
112,Brute Force,High
20,Encryption Brute Forcing,Low
207,Removing Important Client Functionality,High
200,"Removal of filters: Input filters, output filters, data masking",Medium
231,Oversized Serialized Data Payloads,High
201,Serialized Data External Linking,High
278,Web Services Protocol Manipulation,
22,Exploiting Trust in Client,High
202,Create Malicious Client,Medium
176,Configuration/Environment Manipulation,Medium
203,Manipulate Registry Information,Medium
204,Lifting Sensitive Data Embedded in Cache,Medium
68,Subvert Code-signing Facilities,Very High
206,Signing Malicious Code,Very High
208,Removing/short-circuiting 'Purse' logic: removing/mutating 'cash' decrements,Medium
209,XSS Using MIME Type Mismatch,Medium
214,"Fuzzing for garnering J2EE/.NET-based stack traces, for application mapping",Low
215,Fuzzing and observing application log data/errors for application mapping,Low
217,Exploiting Incorrectly Configured SSL,
218,Spoofing of UDDI/ebXML Messages,Medium
94,Man in the Middle Attack,Very High
219,XML Routing Detour Attacks,Medium
272,Protocol Manipulation,Medium
221,Data Serialization External Entities Blowup,
222,iFrame Overlay,High
226,Session Credential Falsification through Manipulation,Medium
250,XML Injection,
228,DTD Injection,Medium
229,Serialized Data Parameter Blowup,High
23,File Content Injection,Very High
130,Excessive Allocation,Medium
234,Hijacking a privileged process,Medium
30,Hijacking a Privileged Thread of Execution,Very High
236,Catching exception throw/signal from privileged block,Very High
237,Escaping a Sandbox by Calling Signed Code in Another Language,Very High
480,Escaping Virtualization,Very High
24,Filter Failure through Buffer Overflow,High
243,XSS Targeting HTML Attributes,Medium
244,XSS Targeting URI Placeholders,High
245,XSS Using Doubled Characters,Medium
247,XSS Using Invalid Characters,Medium
175,Code Inclusion,Very High
251,Local Code Inclusion,Medium
252,PHP Local File Inclusion,Medium
256,SOAP Array Overflow,High
261,Fuzzing for garnering other adjacent user/sensitive data,Medium
263,Force Use of Corrupted Files,Medium
268,Audit Log Manipulation,
29,Leveraging Time-of-Check and Time-of-Use (TOCTOU) Race Conditions,High
27,Leveraging Race Conditions via Symbolic Links,High
270,Modification of Registry Run Keys,Medium
273,HTTP Response Smuggling,Medium
274,HTTP Verb Tampering,Medium
275,DNS Rebinding,Very High
276,Inter-component Protocol Manipulation,
277,Data Interchange Protocol Manipulation,
279,SOAP Manipulation,High
292,Host Discovery,Low
285,ICMP Echo Request Ping,Low
300,Port Scanning,Low
287,TCP SYN Scan,Low
26,Leveraging Race Conditions,High
309,Network Topology Mapping,Low
290,Enumerate Mail Exchange (MX) Records,Low
291,DNS Zone Transfers,Low
169,Footprinting,Very Low
293,Traceroute Route Enumeration,Low
294,ICMP Address Mask Request,Low
295,Timestamp Request,Low
296,ICMP Information Request,Low
297,TCP ACK Ping,Low
298,UDP Ping,Low
299,TCP SYN Ping,Low
3,Using Leading 'Ghost' Character Sequences to Bypass Input Filters,Medium
301,TCP Connect Scan,Low
302,TCP FIN Scan,Low
303,TCP Xmas Scan,Low
304,TCP Null Scan,Low
305,TCP ACK Scan,Low
306,TCP Window Scan,Low
307,TCP RPC Scan,Low
308,UDP Scan,Low
39,Manipulating Opaque Client-based Data Tokens,Medium
31,Accessing/Intercepting/Modifying HTTP Cookies,High
310,Scanning for Vulnerable Software,Low
224,Fingerprinting,Very Low
312,Active OS Fingerprinting,Low
313,Passive OS Fingerprinting,Low
317,IP ID Sequencing Probe,Low
318,IP 'ID' Echoed Byte-Order Probe,Low
319,IP (DF) 'Don't Fragment Bit' Echoing Probe,Low
32,XSS Through HTTP Query Strings,High
320,TCP Timestamp Probe,Low
321,TCP Sequence Number Probe,Low
322,TCP (ISN) Greatest Common Divisor Probe,Low
323,TCP (ISN) Counter Rate Probe,Low
324,TCP (ISN) Sequence Predictability Probe,Low
325,TCP Congestion Control Flag (ECN) Probe,Low
326,TCP Initial Window Size Probe,Low
327,TCP Options Probe,Low
328,TCP 'RST' Flag Checksum Probe,Low
329,ICMP Error Message Quoting Probe,Low
33,HTTP Request Smuggling,High
330,ICMP Error Message Echoing Integrity Probe,Low
331,ICMP IP Total Length Field Probe,Low
332,ICMP IP 'ID' Field Error Message Probe,Low
34,HTTP Response Splitting,High
35,Leverage Executable Code in Non-Executable Files,Very High
36,Using Unpublished Interfaces,High
37,Retrieve Embedded Sensitive Data,Very High
38,Leveraging/Manipulating Configuration File Search Paths,Very High
407,Pretexting,Low
383,Harvesting Information via API Event Monitoring,Low
384,Application API Message Manipulation via Man-in-the-Middle,Low
385,Transaction or Event Tampering via Application API Manipulation,Medium
386,Application API Navigation Remapping,Medium
387,Navigation Remapping To Propagate Malicious Content,Medium
388,Application API Button Hijacking,Medium
389,Content Spoofing Via Application API Manipulation,Low
390,Bypassing Physical Security,
391,Bypassing Physical Locks,
392,Lock Bumping,
393,Lock Picking,
394,Using a Snap Gun Lock to Force a Lock,
395,Bypassing Electronic Locks and Access Controls,
397,Cloning Magnetic Strip Cards,
398,Magnetic Strip Card Brute Force Attacks,
399,Cloning RFID Cards or Chips,
4,Using Alternative IP Address Encodings,High
40,Manipulating Writeable Terminal Devices,Very High
400,RFID Chip Deactivation or Destruction,
440,Hardware Integrity Attack,High
401,Physically Hacking Hardware,High
402,Bypassing ATA Password Security,
406,Dumpster Diving,Low
416,Manipulate Human Behavior,Medium
410,Information Elicitation,Low
41,Using Meta-characters in E-mail Headers to Inject Malicious Payloads,High
412,Pretexting via Customer Service,Low
413,Pretexting via Tech Support,Low
414,Pretexting via Delivery Person,Low
415,Pretexting via Phone,Low
417,Influence Perception,Low
418,Influence Perception of Reciprocation,Medium
42,MIME Conversion,High
420,Influence Perception of Scarcity,Low
421,Influence Perception of Authority,Low
422,Influence Perception of Commitment and Consistency,Low
423,Influence Perception of Liking,Low
424,Influence Perception of Consensus or Social Proof,Low
425,Target Influence via Framing,Low
426,Influence via Incentives,Low
427,Influence via Psychological Principles,Low
428,Influence via Modes of Thinking,Low
429,Target Influence via Eye Cues,Low
43,Exploiting Multiple Input Interpretation Layers,High
433,Target Influence via The Human Buffer Overflow,Low
434,Target Influence via Interview and Interrogation,Low
435,Target Influence via Instant Rapport,Low
44,Overflow Binary Resource File,Very High
441,Malicious Logic Insertion,High
442,Infected Software,High
444,Development Alteration,High
443,Malicious Logic Inserted Into Product Software by Authorized Developer,High
438,Modification During Manufacture,
445,Malicious Logic Insertion into Product Software via Configuration Management Manipulation,High
446,Malicious Logic Insertion into Product Software via Inclusion of 3rd Party Component Dependency,High
447,Design Alteration,High
448,Embed Virus into DLL,High
45,Buffer Overflow via Symbolic Links,High
452,Infected Hardware,High
456,Infected Memory,High
457,USB Memory Attacks,High
458,Flash Memory Attacks,
473,Signature Spoof,
459,Creating a Rogue Certification Authority Certificate,Very High
46,Overflow Variables and Tags,High
460,HTTP Parameter Pollution (HPP),Medium
115,Authentication Bypass,Medium
461,Web Services API Signature Forgery Leveraging Hash Function Extension Weakness,High
462,Cross-Domain Search Timing,Medium
97,Cryptanalysis,Very High
463,Padding Oracle Crypto Attack,High
464,Evercookie,Medium
465,Transparent Proxy Abuse,Medium
466,Leveraging Active Man in the Middle Attacks to Bypass Same Origin Policy,Medium
62,Cross Site Request Forgery,Very High
467,Cross Site Identification,Low
468,Generic Cross-Browser Cross-Domain Theft,Medium
227,Sustained Client Engagement,
469,HTTP DoS,Low
47,Buffer Overflow via Parameter Expansion,High
470,Expanding Control over the Operating System from the Database,Very High
471,Search Order Hijacking,Medium
472,Browser Fingerprinting,Low
474,Signature Spoofing by Key Theft,High
475,Signature Spoofing by Improper Validation,High
476,Signature Spoofing by Misrepresentation,High
477,Signature Spoofing by Mixing Signed and Unsigned Content,High
478,Modification of Windows Service Configuration,High
479,Malicious Root Certificate,Low
48,Passing Local Filenames to Functions That Expect a URL,High
481,Contradictory Destinations in Traffic Routing Schemes,High
125,Flooding,Medium
482,TCP Flood,
485,Signature Spoofing by Key Recreation,High
486,UDP Flood,
487,ICMP Flood,
488,HTTP Flood,
489,SSL Flood,
490,Amplification,
491,XML Quadratic Expansion,
492,Regular Expression Exponential Blowup,
493,SOAP Array Blowup,
494,TCP Fragmentation,
495,UDP Fragmentation,
496,ICMP Fragmentation,
545,Pull Data from System Resources,
498,Probe iOS Screenshots,
499,Intent Intercept,
5,Blue Boxing,Very High
50,Password Recovery Exploitation,High
500,WebView Injection,
501,Activity Hijack,Medium
502,Intent Spoof,
503,WebView Exposure,
504,Task Impersonation,High
505,Scheme Squatting,
506,Tapjacking,Low
651,Eavesdropping,Medium
508,Shoulder Surfing,High
652,Use of Known Kerberos Credentials,High
509,Kerberoasting,High
51,Poison Web Service Registry,Very High
510,SaaS User Request Forgery,Medium
511,Infiltration of Software Development Environment,High
516,Hardware Component Substitution During Baselining,High
517,Documentation Alteration to Circumvent Dial-down,High
518,Documentation Alteration to Produce Under-performing Systems,High
519,Documentation Alteration to Cause Errors in System Design,High
52,Embedding NULL Bytes,High
520,Counterfeit Hardware Component Inserted During Product Assembly,High
521,Hardware Design Specifications Are Altered,High
439,Manipulation During Distribution,
522,Malicious Hardware Component Replacement,High
523,Malicious Software Implanted,High
524,Rogue Integration Procedures,High
529,Malware-Directed Internal Reconnaissance,Medium
53,"Postfix, Null Terminate, and Backslash",High
531,Hardware Component Substitution,High
530,Provide Counterfeit Component,High
534,Malicious Hardware Update,High
532,Altered Installed BIOS,High
533,Malicious Manual Software Update,High
535,Malicious Gray Market Hardware,High
536,Data Injected During Configuration,High
537,Infiltration of Hardware Development Environment,High
538,Open Source Libraries Altered,High
539,ASIC With Malicious Functionality,High
540,Overread Buffers,High
549,Local Execution of Code,High
542,Targeted Malware,
543,Counterfeit Websites,High
544,Counterfeit Organizations,High
546,Probe Application Memory,Medium
607,Obstruction,
547,Physical Destruction of Device or Component,
55,Rainbow Table Password Cracking,Medium
550,Install New Service,
551,Modify Existing Service,
552,Install Rootkit,High
560,Use of Known Domain Credentials,High
555,Remote Services with Stolen Credentials,Very High
556,Replace File Extension Handlers,
558,Replace Trusted Executable,High
601,Jamming,High
559,Orbital Jamming,High
653,Use of Known Windows Credentials,High
561,Windows Admin Shares with Stolen Credentials,
562,Modify Shared File,
563,Add Malicious File to Shared Webroot,
564,Run Software at Logon,
565,Password Spraying,High
569,Collect Data as Provided by Users,
568,Capture Credentials via Keylogger,High
57,Utilizing REST's Trust in the System Resource to Obtain Sensitive Data,Very High
571,Block Logging to Central Repository,Low
572,Artificially Inflate File Sizes,Medium
573,Process Footprinting,Low
574,Services Footprinting,Low
575,Account Footprinting,Low
576,Group Permission Footprinting,Low
577,Owner Footprinting,Low
578,Disable Security Software,Medium
579,Replace Winlogon Helper DLL,
58,Restful Privilege Elevation,High
580,Application Footprinting,Low
581,Security Software Footprinting,
582,Route Disabling,High
583,Disabling Network Hardware,
584,BGP Route Disabling,
585,DNS Domain Seizure,
587,Cross Frame Scripting (XFS),High
63,Cross-Site Scripting (XSS),Very High
603,Blockage,High
589,DNS Blocking,
59,Session Credential Falsification through Prediction,High
590,IP Address Blocking,High
594,Traffic Injection,
595,Connection Reset,
596,TCP RST Injection,
597,Absolute Path Traversal,
598,DNS Spoofing,
599,Terrestrial Jamming,High
6,Argument Injection,High
60,Reusing Session IDs (aka Session Replay),High
600,Credential Stuffing,High
604,Wi-Fi Jamming,High
605,Cellular Jamming,Low
620,Drop Encryption Level,High
606,Weakening of Cellular Encryption,High
608,Cryptanalysis of Cellular Encryption,High
609,Cellular Traffic Intercept,Low
61,Session Fixation,High
240,Resource Injection,High
610,Cellular Data Injection,High
616,Establish Rogue Location,Medium
611,BitSquatting,Medium
612,WiFi MAC Address Tracking,Low
613,WiFi SSID Tracking,Low
614,Rooting SIM Cards,High
615,Evil Twin Wi-Fi Attack,Low
617,Cellular Rogue Base Station,Low
618,Cellular Broadcast Message Request,Low
619,Signal Strength Tracking,Low
621,Analysis of Packet Timing and Sizes,Low
622,Electromagnetic Side-Channel Attack,Low
623,Compromising Emanations Attack,Low
624,Hardware Fault Injection,High
625,Mobile Device Fault Injection,
626,Smudge Attack,
627,Counterfeit GPS Signals,High
628,Carry-Off GPS Attack,High
114,Authentication Abuse,Medium
629,Unauthorized Use of Device Resources,
630,TypoSquatting,Medium
631,SoundSquatting,Medium
632,Homograph Attack via Homoglyphs,Medium
633,Token Impersonation,Medium
634,Probe Audio and Video Peripherals,High
637,Collect Data from Clipboard,Low
638,Altered Component Firmware,High
639,Probe System Files,Medium
64,Using Slashes and URL Encoding Combined to Bypass Validation Logic,High
640,Inclusion of Code in Existing Process,High
641,DLL Side-Loading,High
642,Replace Binaries,High
643,Identify Shared Files/Directories on System,Medium
644,Use of Captured Hashes (Pass The Hash),High
645,Use of Captured Tickets (Pass The Ticket),High
646,Peripheral Footprinting,Medium
647,Collect Data from Registries,Medium
648,Collect Data from Screen Capture,Medium
649,Adding a Space to a File Extension,Medium
65,Sniff Application Code,High
650,Upload a Web Shell to a Web Server,High
654,Credential Prompt Impersonation,High
655,Avoid Security Tool Identification by Adding Data,High
67,String Format Overflow in syslog(),Very High
69,Target Programs with Elevated Privileges,Very High
7,Blind SQL Injection,High
70,Try Common or Default Usernames and Passwords,High
71,Using Unicode Encoding to Bypass Validation Logic,High
72,URL Encoding,High
73,User-Controlled Filename,High
75,Manipulating Writeable Configuration Files,Very High
76,Manipulating Web Input to File System Calls,Very High
78,Using Escaped Slashes in Alternate Encoding,High
79,Using Slashes in Alternate Encoding,High
8,Buffer Overflow in an API Call,High
80,Using UTF-8 Encoding to Bypass Validation Logic,High
81,Web Logs Tampering,High
83,XPath Injection,High
84,XQuery Injection,Very High
85,AJAX Fingerprinting,Low
86,XSS Through HTTP Headers,Very High
87,Forceful Browsing,High
88,OS Command Injection,High
89,Pharming,Very High
9,Buffer Overflow in Local Command-Line Utilities,High
90,Reflection Attack in Authentication Protocol,High
92,Forced Integer Overflow,High
93,Log Injection-Tampering-Forging,High
95,WSDL Scanning,High
96,Block Access to Libraries,Medium
192,Protocol Analysis,Low
